District Short,District Long,State_Short,State,Wikipedia Page,Wikipedia_Mobile,Rep First Last,"Rep Last, First",Website,Party,ACHA Vote,Margin of Victory 2016,Total Vote,Top Opponent,Hispanic,White,Black,Native American,Asian,Pacific,Other,Multiple Races,Total,Senator 1,Senator 2,Room,Phone
AL-1,Alabama District 1,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_1st_congressional_district,Bradley Byrne,"Byrne, Bradley ",https://byrne.house.gov/,Republican,Y,92.80%,"215,893",Write-in,"19,787","451,980","190,107","6,992","9,528",65,270,"8,979","687,708",Shelby,Strange,119 CHOB,202-225-4931
AL-2,Alabama District 2,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_2nd_congressional_district,Martha Roby,"Roby, Martha ",https://roby.house.gov/,Republican,Y,8.20%,"276,584",Nathan Mathis,"24,462","434,218","203,556","2,354","7,922",142,"1,211","11,637","685,502",Shelby,Strange,442 CHOB,202-225-2901
AL-3,Alabama District 3,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_3rd_congressional_district,Mike D. Rogers,"Rogers, Mike ",https://mikerogers.house.gov/,Republican,Y,34%,"287,104",Jesse Smith,"18,776","476,399","172,551","1,889","8,455",204,421,"8,302","686,997",Shelby,Strange,2184 RHOB,202-225-3261
AL-4,Alabama District 4,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_4th_congressional_district,Robert B. Aderholt,"Aderholt, Robert ",https://aderholt.house.gov/,Republican,Y,97.10%,"239,444",Write-in,"40,209","577,799","45,921","4,588","3,832",139,184,"10,569","683,241",Shelby,Strange,235 CHOB,202-225-4876
AL-5,Alabama District 5,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_5th_congressional_district,Mo Brooks,"Brooks, Mo ",https://brooks.house.gov/,Republican,Y,33.50%,"308,326",Will Boyd,"33,003","510,101","116,706","4,577","11,114",474,583,"13,437","689,995",Shelby,Strange,2400 RHOB,202-225-4801
AL-6,Alabama District 6,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_6th_congressional_district,Gary Palmer,"Palmer, Gary ",https://palmer.house.gov/,Republican,Y,49.10%,"329,306",David Putman,"34,491","536,716","92,699","1,536","11,722",48,797,"6,479","684,488",Shelby,Strange,330 CHOB,202-225-4921
AL-7,Alabama District 7,AL,Alabama,https://en.wikipedia.org/wiki/Alabama%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Alabama%27s_7th_congressional_district,Terri A. Sewell,"Sewell, Terri A. ",https://sewell.house.gov/,Democrat,N,96.80%,"233,028",Write-in,"17,566","218,270","434,123","1,033","3,856",169,"1,037","5,292","681,346",Shelby,Strange,2201 RHOB,202-225-2665
AK-AL,Alaska's At-Large District,AK,Alaska,https://en.wikipedia.org/wiki/Alaska%27s_at-large_congressional_district,https://en.m.wikipedia.org/wiki/Alaska%27s_at-large_congressional_district,Don Young,"Young, Don ",https://donyoung.house.gov/,Republican,Y,14.30%,"308,198",Steve Lindbeck,"42,832","457,176","23,790","98,678","38,688","7,665",714,"50,773","720,316",Murkowski,Sullivan,2314 RHOB,202-225-5765
AZ-1,Arizona District 1,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_1st_congressional_district,Tom O'Halleran,"O'Halleran, Tom ",https://ohalleran.house.gov/,Democrat,N,7.30%,"280,710",Paul Babeu,"146,693","364,671","15,406","162,863","10,118","1,508",525,"13,121","714,905",Flake,McCain,126 CHOB,202-225-3361
AZ-2,Arizona District 2,AZ,Arizona,https://en.wikipedia.org/wiki/Arizona%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Arizona%27s_2nd_congressional_district,Martha E. McSally,"McSally, Martha ",https://mcsally.house.gov/,Republican,Y,13.90%,"315,679",Matt Heinz,"187,687","455,694","26,372","6,419","20,332","1,252",893,"16,260","714,909",Flake,McCain,510 CHOB,202-225-2542
